PLZ;Stadt;Lat;Lon;LatMax;LatMin;LonMax;LonMin;Filename
8491;Netzschkau, Germany;506.135.241;122.451.845;506.331.739;50.562.556;122.983.729;12.198.413;08491.json
8496;Neumark, Germany;506.603.895;12.355.939;506.781.889;5.063.355;12.397.125;123.139.549;08496.json
8499;Mylau, Germany;506.240.772;122.624.314;506.341.531;50.601.859;12.287.791;122.409.241;08499.json
8523;Plauen, Germany;504.979.145;121.139.095;50.513.255;50.470.235;12.155.345;120.874.841;08523.json
8525;Kauschwitz,  Plauen, Germany;50.524.448;120.925.219;505.263.764;505.202.987;120.981.336;120.870.639;08525.json
8527;Plauen, Germany;504.862.985;121.381.551;50.535.981;504.303.999;121.952.189;11.999.615;08527.json
8529;Plauen, Germany;504.943.032;121.729.563;50.519.771;504.806.009;12.205.396;12.146.791;08529.json
8538;Weischlitz, Germany;504.474.917;120.579.777;505.045.896;504.274.035;121.052.789;119.923.544;08538.json
8539;Mehltheuer, Germany;505.287.005;119.954.859;50.572.538;504.913.451;12.053.347;11.936.374;08539.json
8541;Neuensalz, Germany;505.035.535;122.239.868;505.511.149;5.044.948;122.851.769;121.814.349;08541.json
8543;Jocketa,  Pöhl, Germany;505.579.571;121.732.587;505.638.309;505.534.669;121.837.941;121.656.209;08543.json
8547;Jößnitz,  Plauen, Germany;505.387.859;121.371.542;505.496.126;505.315.852;121.498.902;121.263.048;08547.json
8548;Syrau, Germany;505.435.385;120.782.827;505.799.691;50.528.473;121.176.389;12.044.673;08548.json
8606;Oelsnitz, Germany;504.175.985;121.758.073;504.522.699;503.673.861;122.381.436;120.748.336;08606.json
8626;Adorf, Germany;503.453.106;122.426.911;50.405.536;50.288.665;123.250.221;12.090.275;08626.json
8645;Bad Elster, Germany;502.821.802;12.232.541;503.075.891;502.590.731;122.943.809;121.952.951;08645.json
8648;Bad Brambach, Germany;50.221.312;123.079.795;50.276.308;50.171.285;123.593.339;12.239.091;08648.json
9111;Chemnitz, Germany;508.365.233;129.239.317;508.483.561;508.233.391;12.938.017;12.913.408;09111.json
9112;Chemnitz, Germany;508.330.573;129.077.033;508.388.631;50.822.173;129.205.259;128.917.219;09112.json
9113;Chemnitz, Germany;508.460.084;129.101.142;5.086.225;508.360.909;12.937.142;12.887.552;09113.json
9114;Chemnitz, Germany;508.681.335;129.121.178;508.927.841;508.460.899;12.964.601;128.635.849;09114.json
9116;Chemnitz, Germany;508.290.179;12.872.972;508.504.481;50.788.433;12.898.965;128.435.299;09116.json
9117;Chemnitz, Germany;508.220.669;128.405.599;50.848.755;507.942.499;128.609.401;128.015.239;09117.json
9119;Chemnitz, Germany;508.175.814;128.959.545;50.828.781;50.802.005;12.915.974;128.768.731;09119.json
9120;Chemnitz, Germany;50.804.263;129.051.769;508.263.409;50.796.632;12.932.763;128.845.289;09120.json
9122;Chemnitz, Germany;507.961.521;128.822.288;508.080.889;5.078.585;129.090.011;128.679.749;09122.json
9123;Chemnitz, Germany;507.868.675;128.945.945;507.964.561;507.427.891;129.995.998;128.690.019;09123.json
9125;Chemnitz, Germany;507.941.097;129.331.275;5.081.171;50.761.545;129.785.129;12.904.192;09125.json
9126;Chemnitz, Germany;508.191.139;129.376.782;508.323.159;508.005.051;129.609.619;129.202.189;09126.json
9127;Chemnitz, Germany;508.183.343;129.655.202;5.085.204;50.789.905;130.276.331;12.942.579;09127.json
9128;Chemnitz, Germany;50.801.795;13.020.846;50.852.309;50.769.508;13.053.064;12.982.296;09128.json
9130;Chemnitz, Germany;50.835.937;129.558.164;50.847.027;508.287.369;12.974.311;12.929.842;09130.json
9131;Chemnitz, Germany;508.645.071;129.569.475;50.895.217;50.831.399;12.999.244;12.934.152;09131.json
9212;Limbach-Oberfrohna, Germany;508.676.316;127.159.205;50.924.638;50.821.617;12.806.745;126.378.781;09212.json
9217;Burgstädt, Germany;509.261.392;128.086.635;509.493.641;50.881.542;128.530.851;12.756.629;09217.json
9221;Neukirchen, Germany;507.793.722;128.669.818;508.018.989;50.736.444;129.049.851;12.814.085;09221.json
9224;Chemnitz, Germany;508.181.869;127.804.699;50.850.131;5.078.493;128.268.173;12.730.545;09224.json
